ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE;"ID,""NAME"",""PREFIXES AS URL"",""INDEGREE"",""TOTAL KNOWN PAGES"",""CRAWLED PAGES"",""STATUS"",""LAST MODIFICATION DATE"""
3;Directoriodeafrocubanas.com;http://directoriodeafrocubanas.com http://www.directoriodeafrocubanas.com https://directoriodeafrocubanas.com https://www.directoriodeafrocubanas.com;2;1349;192;IN;2019-10-03T09:24:45.124Z;"3,""Directoriodeafrocubanas.com"",""http://directoriodeafrocubanas.com http://www.directoriodeafrocubanas.com https://directoriodeafrocubanas.com https://www.directoriodeafrocubanas.com"",""2"",""1349"",""192"",""IN"",""2019-10-03T09:24:45.124Z"""
4;Negracubanateniaqueser.com;http://negracubanateniaqueser.com http://www.negracubanateniaqueser.com https://negracubanateniaqueser.com https://www.negracubanateniaqueser.com;3;2712;111;IN;2019-10-03T09:24:45.165Z;"4,""Negracubanateniaqueser.com"",""http://negracubanateniaqueser.com http://www.negracubanateniaqueser.com https://negracubanateniaqueser.com https://www.negracubanateniaqueser.com"",""3"",""2712"",""111"",""IN"",""2019-10-03T09:24:45.165Z"""
9;Twitter.com /%40Afrofeminas;http://twitter.com/%40Afrofeminas http://www.twitter.com/%40Afrofeminas https://twitter.com/%40Afrofeminas https://www.twitter.com/%40Afrofeminas;1;1;0;IN;2019-10-03T10:39:48.773Z;"9,""Twitter.com /%40Afrofeminas"",""http://twitter.com/%40Afrofeminas http://www.twitter.com/%40Afrofeminas https://twitter.com/%40Afrofeminas https://www.twitter.com/%40Afrofeminas"",""1"",""1"",""0"",""IN"",""2019-10-03T10:39:48.773Z"""
13;Facebook.com /Afrofeminas;http://facebook.com/Afrofeminas http://www.facebook.com/Afrofeminas https://facebook.com/Afrofeminas https://www.facebook.com/Afrofeminas;1;1;0;IN;2019-10-03T10:39:34.189Z;"13,""Facebook.com /Afrofeminas"",""http://facebook.com/Afrofeminas http://www.facebook.com/Afrofeminas https://facebook.com/Afrofeminas https://www.facebook.com/Afrofeminas"",""1"",""1"",""0"",""IN"",""2019-10-03T10:39:34.189Z"""
18;Msafropolitan.com;http://msafropolitan.com http://www.msafropolitan.com https://msafropolitan.com https://www.msafropolitan.com;1;1;0;IN;2019-10-03T10:39:41.825Z;"18,""Msafropolitan.com"",""http://msafropolitan.com http://www.msafropolitan.com https://msafropolitan.com https://www.msafropolitan.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:39:41.825Z"""
30;Ipscuba.net;http://ipscuba.net http://www.ipscuba.net https://ipscuba.net https://www.ipscuba.net;3;39;0;IN;2019-10-03T10:45:27.629Z;"30,""Ipscuba.net"",""http://ipscuba.net http://www.ipscuba.net https://ipscuba.net https://www.ipscuba.net"",""3"",""39"",""0"",""IN"",""2019-10-03T10:45:27.629Z"""
37;Twitter.com /AfroCubaWeb;http://twitter.com/AfroCubaWeb http://www.twitter.com/AfroCubaWeb https://twitter.com/AfroCubaWeb https://www.twitter.com/AfroCubaWeb;1;1;0;IN;2019-10-03T10:39:50.476Z;"37,""Twitter.com /AfroCubaWeb"",""http://twitter.com/AfroCubaWeb http://www.twitter.com/AfroCubaWeb https://twitter.com/AfroCubaWeb https://www.twitter.com/AfroCubaWeb"",""1"",""1"",""0"",""IN"",""2019-10-03T10:39:50.476Z"""
39;Facebook.com /afrocubaweb;http://facebook.com/afrocubaweb http://www.facebook.com/afrocubaweb https://facebook.com/afrocubaweb https://www.facebook.com/afrocubaweb;1;6;0;IN;2019-10-03T10:39:32.789Z;"39,""Facebook.com /afrocubaweb"",""http://facebook.com/afrocubaweb http://www.facebook.com/afrocubaweb https://facebook.com/afrocubaweb https://www.facebook.com/afrocubaweb"",""1"",""6"",""0"",""IN"",""2019-10-03T10:39:32.789Z"""
42;Genesiscuba.blogspot.com;http://genesiscuba.blogspot.com http://www.genesiscuba.blogspot.com https://genesiscuba.blogspot.com https://www.genesiscuba.blogspot.com;1;4;0;IN;2019-10-03T10:42:47.554Z;"42,""Genesiscuba.blogspot.com"",""http://genesiscuba.blogspot.com http://www.genesiscuba.blogspot.com https://genesiscuba.blogspot.com https://www.genesiscuba.blogspot.com"",""1"",""4"",""0"",""IN"",""2019-10-03T10:42:47.554Z"""
44;Afropunk.com;http://afropunk.com http://www.afropunk.com https://afropunk.com https://www.afropunk.com;1;2;0;IN;2019-10-03T10:39:31.385Z;"44,""Afropunk.com"",""http://afropunk.com http://www.afropunk.com https://afropunk.com https://www.afropunk.com"",""1"",""2"",""0"",""IN"",""2019-10-03T10:39:31.385Z"""
50;Cubaposible.com;http://cubaposible.com http://www.cubaposible.com https://cubaposible.com https://www.cubaposible.com;3;11;0;IN;2019-10-03T10:45:31.679Z;"50,""Cubaposible.com"",""http://cubaposible.com http://www.cubaposible.com https://cubaposible.com https://www.cubaposible.com"",""3"",""11"",""0"",""IN"",""2019-10-03T10:45:31.679Z"""
52;Trmafrohispana.com;http://trmafrohispana.com http://www.trmafrohispana.com https://trmafrohispana.com https://www.trmafrohispana.com;2;3;0;IN;2019-10-03T10:39:19.536Z;"52,""Trmafrohispana.com"",""http://trmafrohispana.com http://www.trmafrohispana.com https://trmafrohispana.com https://www.trmafrohispana.com"",""2"",""3"",""0"",""IN"",""2019-10-03T10:39:19.536Z"""
56;Cubatrademagazine.com;http://cubatrademagazine.com http://www.cubatrademagazine.com https://cubatrademagazine.com https://www.cubatrademagazine.com;1;1;0;IN;2019-10-03T10:43:09.229Z;"56,""Cubatrademagazine.com"",""http://cubatrademagazine.com http://www.cubatrademagazine.com https://cubatrademagazine.com https://www.cubatrademagazine.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:43:09.229Z"""
65;Blackpast.org;http://blackpast.org http://www.blackpast.org https://blackpast.org https://www.blackpast.org;1;1;0;IN;2019-10-03T10:49:15.152Z;"65,""Blackpast.org"",""http://blackpast.org http://www.blackpast.org https://blackpast.org https://www.blackpast.org"",""1"",""1"",""0"",""IN"",""2019-10-03T10:49:15.152Z"""
72;afromodernidades.Wordpress.com;http://afromodernidades.wordpress.com http://www.afromodernidades.wordpress.com https://afromodernidades.wordpress.com https://www.afromodernidades.wordpress.com;3;44;0;IN;2019-10-03T10:39:11.381Z;"72,""afromodernidades.Wordpress.com"",""http://afromodernidades.wordpress.com http://www.afromodernidades.wordpress.com https://afromodernidades.wordpress.com https://www.afromodernidades.wordpress.com"",""3"",""44"",""0"",""IN"",""2019-10-03T10:39:11.381Z"""
74;wicuba.files.Wordpress.com;http://wicuba.files.wordpress.com http://www.wicuba.files.wordpress.com https://wicuba.files.wordpress.com https://www.wicuba.files.wordpress.com;1;1;0;IN;2019-10-03T10:42:01.224Z;"74,""wicuba.files.Wordpress.com"",""http://wicuba.files.wordpress.com http://www.wicuba.files.wordpress.com https://wicuba.files.wordpress.com https://www.wicuba.files.wordpress.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:42:01.224Z"""
83;Us-Cubanormalization.org;http://us-cubanormalization.org http://www.us-cubanormalization.org https://us-cubanormalization.org https://www.us-cubanormalization.org;1;1;0;IN;2019-10-03T10:42:06.834Z;"83,""Us-Cubanormalization.org"",""http://us-cubanormalization.org http://www.us-cubanormalization.org https://us-cubanormalization.org https://www.us-cubanormalization.org"",""1"",""1"",""0"",""IN"",""2019-10-03T10:42:06.834Z"""
88;Havanatimes.org;http://havanatimes.org http://www.havanatimes.org https://havanatimes.org https://www.havanatimes.org;2;55;0;IN;2019-10-03T10:48:14.563Z;"88,""Havanatimes.org"",""http://havanatimes.org http://www.havanatimes.org https://havanatimes.org https://www.havanatimes.org"",""2"",""55"",""0"",""IN"",""2019-10-03T10:48:14.563Z"""
