ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE;"ID,""NAME"",""PREFIXES AS URL"",""INDEGREE"",""TOTAL KNOWN PAGES"",""CRAWLED PAGES"",""STATUS"",""LAST MODIFICATION DATE"""
1;Negracubanateniaqueser.com;http://negracubanateniaqueser.com http://www.negracubanateniaqueser.com https://negracubanateniaqueser.com https://www.negracubanateniaqueser.com;7;2749;109;IN;2019-11-21T16:09:50.464Z;"1,""Negracubanateniaqueser.com"",""http://negracubanateniaqueser.com http://www.negracubanateniaqueser.com https://negracubanateniaqueser.com https://www.negracubanateniaqueser.com"",""7"",""2749"",""109"",""IN"",""2019-11-21T16:09:50.464Z"""
12;Afrofeminas.com;http://afrofeminas.com http://www.afrofeminas.com https://afrofeminas.com https://www.afrofeminas.com;4;1749;116;IN;2019-11-21T16:09:50.466Z;"12,""Afrofeminas.com"",""http://afrofeminas.com http://www.afrofeminas.com https://afrofeminas.com https://www.afrofeminas.com"",""4"",""1749"",""116"",""IN"",""2019-11-21T16:09:50.466Z"""
82;Pedroperezsarduy.blogspot.co.uk;http://pedroperezsarduy.blogspot.co.uk http://www.pedroperezsarduy.blogspot.co.uk https://pedroperezsarduy.blogspot.co.uk https://www.pedroperezsarduy.blogspot.co.uk;2;6;4;IN;2019-11-21T15:38:29.319Z;"82,""Pedroperezsarduy.blogspot.co.uk"",""http://pedroperezsarduy.blogspot.co.uk http://www.pedroperezsarduy.blogspot.co.uk https://pedroperezsarduy.blogspot.co.uk https://www.pedroperezsarduy.blogspot.co.uk"",""2"",""6"",""4"",""IN"",""2019-11-21T15:38:29.319Z"""
10;Facebook.com /directoriodeafrocubanas;http://facebook.com/directoriodeafrocubanas http://www.facebook.com/directoriodeafrocubanas https://facebook.com/directoriodeafrocubanas https://www.facebook.com/directoriodeafrocubanas;6;331;43;IN;2019-11-21T16:09:50.476Z;"10,""Facebook.com /directoriodeafrocubanas"",""http://facebook.com/directoriodeafrocubanas http://www.facebook.com/directoriodeafrocubanas https://facebook.com/directoriodeafrocubanas https://www.facebook.com/directoriodeafrocubanas"",""6"",""331"",""43"",""IN"",""2019-11-21T16:09:50.476Z"""
11;negracubanateniaqueser.Wordpress.com;http://negracubanateniaqueser.wordpress.com http://www.negracubanateniaqueser.wordpress.com https://negracubanateniaqueser.wordpress.com https://www.negracubanateniaqueser.wordpress.com;6;185;82;IN;2019-11-21T16:09:50.481Z;"11,""negracubanateniaqueser.Wordpress.com"",""http://negracubanateniaqueser.wordpress.com http://www.negracubanateniaqueser.wordpress.com https://negracubanateniaqueser.wordpress.com https://www.negracubanateniaqueser.wordpress.com"",""6"",""185"",""82"",""IN"",""2019-11-21T16:09:50.481Z"""
4;Facebook.com /negracubanateniaqueser;http://facebook.com/negracubanateniaqueser http://www.facebook.com/negracubanateniaqueser https://facebook.com/negracubanateniaqueser https://www.facebook.com/negracubanateniaqueser;8;444;44;IN;2019-11-21T16:09:50.473Z;"4,""Facebook.com /negracubanateniaqueser"",""http://facebook.com/negracubanateniaqueser http://www.facebook.com/negracubanateniaqueser https://facebook.com/negracubanateniaqueser https://www.facebook.com/negracubanateniaqueser"",""8"",""444"",""44"",""IN"",""2019-11-21T16:09:50.473Z"""
13;Negraflor.com;http://negraflor.com http://www.negraflor.com https://negraflor.com https://www.negraflor.com;1;4;4;IN;2019-11-21T15:38:28.747Z;"13,""Negraflor.com"",""http://negraflor.com http://www.negraflor.com https://negraflor.com https://www.negraflor.com"",""1"",""4"",""4"",""IN"",""2019-11-21T15:38:28.747Z"""
15;afrocubanas.Wordpress.com;http://afrocubanas.wordpress.com http://www.afrocubanas.wordpress.com https://afrocubanas.wordpress.com https://www.afrocubanas.wordpress.com;2;392;49;IN;2019-11-21T16:09:50.474Z;"15,""afrocubanas.Wordpress.com"",""http://afrocubanas.wordpress.com http://www.afrocubanas.wordpress.com https://afrocubanas.wordpress.com https://www.afrocubanas.wordpress.com"",""2"",""392"",""49"",""IN"",""2019-11-21T16:09:50.474Z"""
18;negracubanateniaqueser.files.Wordpress.com;http://negracubanateniaqueser.files.wordpress.com http://www.negracubanateniaqueser.files.wordpress.com https://negracubanateniaqueser.files.wordpress.com https://www.negracubanateniaqueser.files.wordpress.com;3;35;4;IN;2019-11-21T15:38:29.197Z;"18,""negracubanateniaqueser.files.Wordpress.com"",""http://negracubanateniaqueser.files.wordpress.com http://www.negracubanateniaqueser.files.wordpress.com https://negracubanateniaqueser.files.wordpress.com https://www.negracubanateniaqueser.files.wordpress.com"",""3"",""35"",""4"",""IN"",""2019-11-21T15:38:29.197Z"""
93;Facebook.com /afrocubanas;http://facebook.com/afrocubanas http://www.facebook.com/afrocubanas https://facebook.com/afrocubanas https://www.facebook.com/afrocubanas;3;328;37;IN;2019-11-21T16:09:50.475Z;"93,""Facebook.com /afrocubanas"",""http://facebook.com/afrocubanas http://www.facebook.com/afrocubanas https://facebook.com/afrocubanas https://www.facebook.com/afrocubanas"",""3"",""328"",""37"",""IN"",""2019-11-21T16:09:50.475Z"""
